phrase,model,temperature,repetition_penalty,top_p,avg_bleu,avg_rouge1,avg_semantic_similarity,diversity_between_paraphrases,success
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,1.0,0.85,0.69855762056862,0.9714285714285713,0.9493525743484497,0.8808725183488602,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,1.0,0.95,0.6985576205686201,0.9714285714285713,0.9493525743484497,0.8806498638001434,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,2.0,0.75,0.7111183044879537,0.9714285714285713,0.9500635623931885,0.8800603465406478,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,2.0,0.85,0.7111183044879537,0.9714285714285713,0.9500635623931885,0.8800603465406478,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,2.0,0.95,0.6933589503680204,0.9609266409266409,0.9357919573783875,0.8262333232622943,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,3.0,0.75,0.7111183044879537,0.9714285714285713,0.9500635623931885,0.8798376919919313,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,3.0,0.85,0.6881602801674207,0.9504247104247104,0.9222313404083252,0.8281666384723654,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,3.0,0.95,0.6881602801674207,0.9504247104247104,0.9222313404083252,0.8281666384723654,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,4.0,0.75,0.6986107281743712,0.9771428571428572,0.9477784276008606,0.8272367291179034,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,4.0,0.85,0.6578404157540779,0.9399227799227801,0.9060617804527282,0.8169574334547013,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,0.75,4.0,0.95,0.6578404157540779,0.9399227799227801,0.9060617804527282,0.8169574334547013,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,1.0,0.75,0.69855762056862,0.9714285714285713,0.9493525743484497,0.8808725183488602,True
"Write Python code for addition, subtraction, division, multiplication, and other similar operations, all a part of one class",Vamsi/T5_Paraphrase_Paws,1.0,1.0,0.85,0.6985576205686201,0.9714285714285713,0.9493525743484497,0.8806498638001434,True
